t,idle_infid_CD,idle_infid_DD
2.062500000000000000e+01,3.179066882824386348e-02,1.071924611205447072e-03
4.062500000000000000e+01,1.128656846912836770e-01,2.048328540998398724e-03
6.062500000000000000e+01,2.299762645004448935e-01,3.640410113315103568e-03
8.062500000000000000e+01,3.649220888407716523e-01,5.794554547769902725e-03
1.006250000000000000e+02,5.000610765971146288e-01,8.441424268434425185e-03
1.206250000000000000e+02,6.219727628470008707e-01,1.150096717354945688e-02
1.406250000000000000e+02,7.230680450356062883e-01,1.488785288075696045e-02
1.606250000000000000e+02,8.012086050985545160e-01,1.851690598000302335e-02
1.806250000000000000e+02,8.581016856915593127e-01,2.230796523843022600e-02
2.006250000000000000e+02,8.974049027545625279e-01,2.618992966026407673e-02
2.206250000000000000e+02,9.232205850231376409e-01,3.010358828308902501e-02
2.406250000000000000e+02,9.392412334462708623e-01,3.400349007834496673e-02
2.606250000000000000e+02,9.484610448643395753e-01,3.785829379822901880e-02
2.806250000000000000e+02,9.532071244843598468e-01,4.165035223845216933e-02
3.006250000000000000e+02,9.552586441514935300e-01,4.537413956930824027e-02
3.206250000000000000e+02,9.559303699815301369e-01,4.903434510708656879e-02
3.406250000000000000e+02,9.561071765350732665e-01,5.264331531233414768e-02
3.606250000000000000e+02,9.562731972462548136e-01,5.621872218293048201e-02
3.806250000000000000e+02,9.565770945666481895e-01,5.978107834523150449e-02
4.006250000000000000e+02,9.569411994216738826e-01,6.335192769099222410e-02
